Pick Number,Team Name,Player Name,Position,2023 Salary
42,St. Louis Crows,Michael Thomas,WR,7
43,Healthy Scratch ,Amari Cooper,WR,29
44,Great Britton,Miles Sanders,RB,25
45,War Machine,Allen Lazard,WR,12
46,RLTHAWKS,David Njoku,TE,16
47,War Machine,Younghoe Koo,K,6
48,Werkmonsters,Tyler Bass,K,6
49,St. Louis Crows,Jason Sanders,K,2
50,Great Britton,D'Andre Swift,RB,15
51,KnightHawks,Adam Thielen,WR,12
52,Hair Force Blue,Gabe Davis,WR,27
53,Hair Force Blue,Elijah Mitchell,RB,8
54,Healthy Scratch ,Jameson Williams,WR,24
55,Redskins,Van Jefferson,WR,6
56,Team Mallard,Raheem Mostert,RB,18
57,Baskin Dobbins,Jake Ferguson,TE,6
58,War Machine,Michael Gallup,WR,10
59,KnightHawks,Graham Gano,K,5
60,St. Louis Crows,Jake Elliott,K,3
61,Baskin Dobbins,Brandon McManus,K,2
62,St. Louis Crows,Irv Smith,TE,1
63,St. Louis Crows,Devin Singletary,RB,4
64,Healthy Scratch ,Kenneth Gainwell,RB,5
65,Baskin Dobbins,John Metchie,WR,3
66,St. Louis Crows,D'Onta Foreman,RB,6
67,Baskin Dobbins,Alec Pierce,WR,2
68,Great Britton,Rico Dowdle,RB,1
69,Healthy Scratch ,Jason Myers,K,4
70,Werkmonsters,Desmond Ridder,QB,1
71,Resident Stevil,Clyde Edwards-Helaire,RB,2
72,Resident Stevil,Rashid Shaheed,WR,1
73,Baskin Dobbins,Deon Jackson,RB,4
74,Baskin Dobbins,Isaiah Spiller,RB,1
75,Hair Force Blue,Matt Gay,K,1
76,Werkmonsters,A.T. Perry,WR,1
77,Healthy Scratch ,Kareem Hunt,RB,1
78,Resident Stevil,Keaton Mitchell,RB,1
79,Team Mallard,Justyn Ross,WR,1
80,Baskin Dobbins,Terrace Marshall,WR,1
82,Resident Stevil,Jaleel McLaughlin,RB,1
83,Resident Stevil,Chris Evans,RB,1
84,Resident Stevil,Noah Gray,TE,1
